Time,Source,Sequence
1.13015,2,65145
1.13033,2,67061
1.13051,2,68977
1.13069,2,70893
1.13087,2,72809
1.13105,2,74725
1.13123,2,76641
1.13141,2,78557
1.13159,2,80473
1.13177,2,82389
1.13195,2,84305
1.13213,2,86221
1.13231,2,88137
1.13249,2,90053
1.13267,2,91969
1.13285,2,93885
1.13303,2,95801
1.13321,2,97717
1.13339,2,99633
1.13357,2,101549
1.13375,2,103465
1.13393,2,105381
1.13411,2,107297
1.13429,2,109213
1.13447,2,111129
1.13465,2,113045
1.13483,2,114961
1.13501,2,116877
1.13519,2,118793
1.13537,2,120709
1.13555,3,61313
1.13573,3,63229
1.13591,3,65145
1.13609,3,67061
1.13627,3,68977
1.13645,3,70893
1.13663,3,72809
1.13681,3,74725
1.13699,3,76641
1.13717,3,78557
1.13735,3,80473
1.13753,3,82389
1.13771,3,84305
1.13789,3,86221
1.13807,3,88137
1.13825,3,90053
1.13843,3,91969
1.13861,3,93885
1.13879,3,95801
1.13897,3,97717
1.13915,3,99633
1.13933,3,101549
1.13951,3,103465
1.13969,3,105381
1.13987,3,107297
1.14005,3,109213
1.14023,3,111129
1.14041,3,113045
1.14059,3,114961
1.14077,3,116877
1.14095,3,118793
1.14113,3,120709
1.14131,4,61313
1.14149,4,63229
1.14167,4,65145
1.14185,4,67061
1.14203,4,68977
1.14221,4,70893
1.14239,4,72809
1.14257,4,74725
1.14275,4,76641
1.14293,4,78557
1.1431,4,80473
1.14328,4,82389
1.14346,4,84305
1.14364,4,86221
1.14382,4,88137
1.144,4,90053
1.14418,4,91969
1.14436,4,93885
1.14454,4,95801
1.14472,4,97717
1.1449,4,99633
1.14508,4,101549
1.14526,4,103465
1.14544,4,105381
1.14562,4,107297
1.1458,4,109213
1.14598,4,111129
1.14616,4,113045
1.14634,4,114961
1.14652,4,116877
1.1467,4,118793
1.14688,4,120709
1.14706,1,61313
1.14724,1,63229
1.14742,1,65145
1.1476,1,67061
1.14778,1,68977
1.14796,1,70893
1.14814,1,72809
1.14832,1,74725
1.1485,1,76641
1.14868,1,78557
1.14886,1,80473
1.14904,1,82389
1.14922,1,84305
1.1494,1,86221
1.14958,1,88137
1.14976,1,90053
1.14994,1,91969
1.15012,1,93885
1.1503,1,95801
1.15048,1,97717
1.15066,1,99633
1.15084,1,101549
1.15102,1,103465
1.1512,1,105381
1.15138,1,107297
1.15156,1,109213
1.15174,1,111129
1.15192,1,113045
1.1521,1,114961
1.15228,1,116877
1.15246,1,118793
1.15264,1,120709
1.15282,2,61313
1.153,2,63229
1.15318,2,65145
1.15336,2,67061
1.15354,2,68977
1.15372,2,70893
1.1539,2,72809
1.15408,2,74725
1.15426,2,76641
1.15444,2,78557
1.15462,2,80473
1.1548,2,82389
1.15498,2,84305
1.15516,2,86221
1.15534,2,88137
1.15552,2,90053
1.1557,2,91969
1.15588,2,93885
1.15606,2,95801
1.15624,2,97717
1.15642,2,99633
1.1566,2,101549
1.15678,2,103465
1.15696,2,105381
1.15714,2,107297
1.15732,2,109213
1.1575,2,111129
1.15768,2,113045
1.15786,2,114961
1.15804,2,116877
1.15822,2,118793
1.1584,2,120709
1.15858,3,61313
1.15876,3,63229
1.15894,3,65145
1.15912,3,67061
1.1593,3,68977
1.15948,3,70893
1.15966,3,72809
1.15984,3,74725
1.16002,3,76641
1.1602,3,78557
1.16038,3,80473
1.16056,3,82389
1.16074,3,84305
1.16092,3,86221
1.1611,3,88137
1.16128,3,90053
1.16146,3,91969
1.16164,3,93885
1.16182,3,95801
1.162,3,97717
1.16218,3,99633
1.16236,3,101549
1.16254,3,103465
1.16272,3,105381
1.1629,3,107297
1.16308,3,109213
1.16325,3,111129
1.16343,3,113045
1.16361,3,114961
1.16379,3,116877
1.16397,3,118793
1.16415,3,120709
1.16433,4,61313
1.16451,4,63229
1.16469,4,65145
1.16487,4,67061
1.16505,4,68977
1.16523,4,70893
1.16541,4,72809
1.16559,4,74725
1.16577,4,76641
1.16595,4,78557
1.16613,4,80473
1.16631,4,82389
1.16649,4,84305
1.16667,4,86221
1.16685,4,88137
1.16703,4,90053
1.16721,4,91969
1.16739,4,93885
1.16757,4,95801
1.16775,4,97717
1.16793,4,99633
1.16811,4,101549
1.16829,4,103465
1.16847,4,105381
1.16865,4,107297
1.16883,4,109213
1.16901,4,111129
1.16919,4,113045
1.16937,4,114961
1.16955,4,116877
1.16973,4,118793
1.16991,4,120709
1.17009,1,122625
1.17027,1,124541
1.17045,1,126457
1.17063,1,128373
1.17081,1,130289
1.17099,1,132205
1.17117,1,134121
1.17135,1,136037
1.17153,1,137953
1.17171,1,139869
1.17189,1,141785
1.17207,1,143701
1.17225,1,145617
1.17243,1,147533
1.17261,1,149449
1.17279,1,151365
1.17297,1,153281
1.17315,1,155197
1.17333,1,157113
1.17351,1,159029
1.17369,1,160945
1.17387,1,162861
1.17405,1,164777
1.17423,1,166693
1.17441,1,168609
1.17459,1,170525
1.17477,1,172441
1.17495,1,174357
1.17513,1,176273
1.17531,1,178189
1.17549,1,180105
1.17567,1,182021
1.17585,1,183937
1.17603,1,185853
1.17621,1,187769
1.17639,1,189685
1.17657,1,191601
1.17675,1,193517
1.17693,1,195433
1.17711,1,197349
1.17729,1,199265
1.17747,1,201181
1.17765,1,203097
1.17775,1,204055
1.17801,1,206929
1.17819,1,208845
1.17837,1,210761
1.17855,1,212677
1.17873,1,214593
1.17891,1,216509
1.17909,1,218425
1.17927,1,220341
1.17945,1,222257
1.17963,1,224173
1.17981,1,226089
1.17999,1,228005
1.18017,1,229921
1.18035,1,231837
1.18053,1,233753
1.18071,1,235669
1.18089,1,237585
1.18107,1,239501
1.18125,1,241417
1.18143,1,243333
1.18161,2,122625
1.18179,2,124541
1.18197,2,126457
1.18215,2,128373
1.18233,2,130289
1.1826,2,132205
2.06855,3,504867
2.10255,1,541271
2.12944,1,331469
2.15509,1,581507
2.19071,4,623659
2.49026,4,792267
2.52444,2,849747
2.54459,2,971413
2.57014,2,877529
2.59245,2,1017397
2.8956,3,998237
2.92277,3,1438917
2.95371,4,1452329
3.00427,1,537439
3.42364,4,1237737
3.45494,2,1501187
3.47491,1,1223367
3.49794,1,717543
3.51989,1,1240611
3.54472,1,725207
3.8655,2,2031919
3.89878,4,1429337
3.91983,3,1623811
3.9506,1,1435085
3.97884,1,857411
4.3581,3,2818437
4.39498,1,956085
4.4342,4,2891245
4.47162,3,1906421
4.85753,2,2561693
4.89621,4,3276361
4.93885,3,2116223
4.98851,4,3329051
5.27654,2,3244747
5.31486,1,2198611
5.34563,3,3684469
5.72416,3,3947919
5.74665,3,2443859
5.76536,2,3230377
5.79145,2,3617409
5.82725,4,2749461
6.30743,4,3114459
6.34216,2,3581963
6.36842,3,2700603
6.38641,1,2211065
6.40908,1,2956389
6.44021,3,4283219
6.9417,1,2633543
6.97004,3,2956389
6.99145,2,3915347
7.00999,2,4460449
7.02798,4,4744975
7.0582,2,4500685
7.52615,4,3954625
7.55871,2,4158679
7.57832,1,3854035
7.59865,4,5178949
7.61826,3,5045787
8.09827,4,4312917
8.12695,4,5486467
8.15818,2,5327439
8.18372,2,4422129
8.21431,3,3654771
8.64142,3,5753749
8.66391,2,5654117
8.69737,4,4608939
8.73209,2,4630973
8.7517,1,4820657
9.16892,3,4261185
9.1968,3,6077553
9.23279,1,4817783
9.59854,3,4483441
9.62597,4,5075485
9.65756,1,5179907
9.68004,1,5497963
9.71161,2,5063989
