Time,CurrentSize,AverageSize
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,44,44
1.13,99,143
1.14,100,243
1.15,99,342
1.16,100,442
1.17,99,541
1.18,99,640
1.19,74,714
1.2,20,734
1.21,0,734
1.22,0,734
1.23,0,734
1.24,0,734
1.25,0,734
1.26,0,734
1.27,0,734
1.28,0,734
1.29,0,734
1.3,0,734
1.31,0,734
1.32,0,734
1.33,0,734
1.34,0,734
1.35,0,734
1.36,0,734
1.37,0,734
1.38,0,734
1.39,0,734
1.4,0,734
1.41,0,734
1.42,0,734
1.43,0,734
1.44,0,734
1.45,0,734
1.46,0,734
1.47,0,734
1.48,0,734
1.49,0,734
1.5,0,734
1.51,0,734
1.52,0,734
1.53,0,734
1.54,0,734
1.55,0,734
1.56,0,734
1.57,0,734
1.58,0,734
1.59,0,734
1.6,0,734
1.61,0,734
1.62,0,734
1.63,0,734
1.64,0,734
1.65,0,734
1.66,0,734
1.67,0,734
1.68,0,734
1.69,0,734
1.7,0,734
1.71,0,734
1.72,0,734
1.73,0,734
1.74,0,734
1.75,0,734
1.76,0,734
1.77,0,734
1.78,0,734
1.79,0,734
1.8,8,742
1.81,8,750
1.82,8,758
1.83,8,766
1.84,15,781
1.85,16,797
1.86,18,815
1.87,27,842
1.88,29,871
1.89,31,902
1.9,33,935
1.91,50,985
1.92,51,1036
1.93,53,1089
1.94,54,1143
1.95,57,1200
1.96,59,1259
1.97,60,1319
1.98,62,1381
1.99,63,1444
2,65,1509
2.01,66,1575
2.02,68,1643
2.03,69,1712
2.04,71,1783
2.05,72,1855
2.06,74,1929
2.07,74,2003
2.08,76,2079
2.09,77,2156
2.1,79,2235
2.11,79,2314
2.12,80,2394
2.13,61,2455
2.14,63,2518
2.15,64,2582
2.16,44,2626
2.17,46,2672
2.18,48,2720
2.19,49,2769
2.2,40,2809
2.21,42,2851
2.22,45,2896
2.23,47,2943
2.24,27,2970
2.25,29,2999
2.26,29,3028
2.27,30,3058
2.28,31,3089
2.29,31,3120
2.3,34,3154
2.31,35,3189
2.32,38,3227
2.33,39,3266
2.34,44,3310
2.35,45,3355
2.36,48,3403
2.37,49,3452
2.38,50,3502
2.39,54,3556
2.4,55,3611
2.41,58,3669
2.42,59,3728
2.43,63,3791
2.44,65,3856
2.45,67,3923
2.46,69,3992
2.47,71,4063
2.48,72,4135
2.49,73,4208
2.5,74,4282
2.51,76,4358
2.52,81,4439
2.53,81,4520
2.54,76,4596
2.55,77,4673
2.56,78,4751
2.57,76,4827
2.58,70,4897
2.59,66,4963
2.6,42,5005
2.61,42,5047
2.62,26,5073
2.63,27,5100
2.64,30,5130
2.65,31,5161
2.66,33,5194
2.67,32,5226
2.68,27,5253
2.69,28,5281
2.7,29,5310
2.71,34,5344
2.72,43,5387
2.73,44,5431
2.74,46,5477
2.75,46,5523
2.76,48,5571
2.77,50,5621
2.78,52,5673
2.79,53,5726
2.8,55,5781
2.81,57,5838
2.82,57,5895
2.83,59,5954
2.84,60,6014
2.85,62,6076
2.86,64,6140
2.87,66,6206
2.88,67,6273
2.89,70,6343
2.9,70,6413
2.91,72,6485
2.92,74,6559
2.93,74,6633
2.94,75,6708
2.95,60,6768
2.96,60,6828
2.97,62,6890
2.98,42,6932
2.99,42,6974
3,43,7017
3.01,35,7052
3.02,30,7082
3.03,32,7114
3.04,11,7125
3.05,13,7138
3.06,15,7153
3.07,18,7171
3.08,7,7178
3.09,8,7186
3.1,11,7197
3.11,13,7210
3.12,16,7226
3.13,17,7243
3.14,20,7263
3.15,22,7285
3.16,24,7309
3.17,26,7335
3.18,28,7363
3.19,30,7393
3.2,32,7425
3.21,34,7459
3.22,36,7495
3.23,38,7533
3.24,40,7573
3.25,42,7615
3.26,44,7659
3.27,46,7705
3.28,48,7753
3.29,49,7802
3.3,51,7853
3.31,53,7906
3.32,55,7961
3.33,57,8018
3.34,58,8076
3.35,60,8136
3.36,61,8197
3.37,62,8259
3.38,64,8323
3.39,66,8389
3.4,67,8456
3.41,69,8525
3.42,72,8597
3.43,72,8669
3.44,73,8742
3.45,76,8818
3.46,76,8894
3.47,78,8972
3.48,78,9050
3.49,80,9130
3.5,81,9211
3.51,63,9274
3.52,48,9322
3.53,39,9361
3.54,41,9402
3.55,36,9438
3.56,36,9474
3.57,28,9502
3.58,30,9532
3.59,25,9557
3.6,26,9583
3.61,25,9608
3.62,28,9636
3.63,27,9663
3.64,29,9692
3.65,32,9724
3.66,35,9759
3.67,38,9797
3.68,40,9837
3.69,41,9878
3.7,44,9922
3.71,46,9968
3.72,47,10015
3.73,49,10064
3.74,50,10114
3.75,52,10166
3.76,54,10220
3.77,56,10276
3.78,56,10332
3.79,58,10390
3.8,60,10450
3.81,63,10513
3.82,64,10577
3.83,65,10642
3.84,68,10710
3.85,69,10779
3.86,72,10851
3.87,71,10922
3.88,72,10994
3.89,74,11068
3.9,74,11142
3.91,77,11219
3.92,72,11291
3.93,73,11364
3.94,75,11439
3.95,65,11504
3.96,45,11549
3.97,46,11595
3.98,47,11642
3.99,49,11691
4,39,11730
4.01,21,11751
4.02,22,11773
4.03,23,11796
4.04,24,11820
4.05,26,11846
4.06,19,11865
4.07,20,11885
4.08,21,11906
4.09,23,11929
4.1,24,11953
4.11,26,11979
4.12,28,12007
4.13,30,12037
4.14,32,12069
4.15,34,12103
4.16,37,12140
4.17,38,12178
4.18,40,12218
4.19,42,12260
4.2,44,12304
4.21,46,12350
4.22,48,12398
4.23,49,12447
4.24,52,12499
4.25,54,12553
4.26,56,12609
4.27,57,12666
4.28,59,12725
4.29,61,12786
4.3,62,12848
4.31,64,12912
4.32,66,12978
4.33,68,13046
4.34,70,13116
4.35,72,13188
4.36,72,13260
4.37,74,13334
4.38,76,13410
4.39,77,13487
4.4,78,13565
4.41,79,13644
4.42,51,13695
4.43,53,13748
4.44,53,13801
4.45,47,13848
4.46,48,13896
4.47,50,13946
4.48,51,13997
4.49,21,14018
4.5,22,14040
4.51,24,14064
4.52,10,14074
4.53,13,14087
4.54,14,14101
4.55,17,14118
4.56,17,14135
4.57,20,14155
4.58,22,14177
4.59,24,14201
4.6,26,14227
4.61,27,14254
4.62,29,14283
4.63,31,14314
4.64,34,14348
4.65,35,14383
4.66,37,14420
4.67,39,14459
4.68,42,14501
4.69,43,14544
4.7,45,14589
4.71,47,14636
4.72,49,14685
4.73,51,14736
4.74,52,14788
4.75,55,14843
4.76,57,14900
4.77,58,14958
4.78,59,15017
4.79,60,15077
4.8,62,15139
4.81,64,15203
4.82,65,15268
4.83,67,15335
4.84,68,15403
4.85,70,15473
4.86,71,15544
4.87,73,15617
4.88,74,15691
4.89,75,15766
4.9,77,15843
4.91,53,15896
4.92,55,15951
4.93,56,16007
4.94,57,16064
4.95,50,16114
4.96,51,16165
4.97,53,16218
4.98,54,16272
4.99,41,16313
5,43,16356
5.01,45,16401
5.02,46,16447
5.03,38,16485
5.04,39,16524
5.05,41,16565
5.06,42,16607
5.07,43,16650
5.08,37,16687
5.09,39,16726
5.1,40,16766
5.11,42,16808
5.12,43,16851
5.13,43,16894
5.14,45,16939
5.15,46,16985
5.16,50,17035
5.17,51,17086
5.18,52,17138
5.19,53,17191
5.2,57,17248
5.21,59,17307
5.22,60,17367
5.23,61,17428
5.24,64,17492
5.25,66,17558
5.26,67,17625
5.27,69,17694
5.28,68,17762
5.29,71,17833
5.3,74,17907
5.31,75,17982
5.32,75,18057
5.33,48,18105
5.34,52,18157
5.35,52,18209
5.36,53,18262
5.37,33,18295
5.38,35,18330
5.39,37,18367
5.4,13,18380
5.41,15,18395
5.42,17,18412
5.43,19,18431
5.44,20,18451
5.45,22,18473
5.46,25,18498
5.47,27,18525
5.48,28,18553
5.49,31,18584
5.5,33,18617
5.51,35,18652
5.52,37,18689
5.53,39,18728
5.54,40,18768
5.55,42,18810
5.56,43,18853
5.57,45,18898
5.58,48,18946
5.59,49,18995
5.6,51,19046
5.61,53,19099
5.62,56,19155
5.63,57,19212
5.64,58,19270
5.65,60,19330
5.66,62,19392
5.67,64,19456
5.68,66,19522
5.69,67,19589
5.7,69,19658
5.71,72,19730
5.72,73,19803
5.73,73,19876
5.74,75,19951
5.75,76,20027
5.76,77,20104
5.77,77,20181
5.78,74,20255
5.79,75,20330
5.8,63,20393
5.81,64,20457
5.82,46,20503
5.83,46,20549
5.84,47,20596
5.85,45,20641
5.86,30,20671
5.87,31,20702
5.88,12,20714
5.89,13,20727
5.9,16,20743
5.91,0,20743
5.92,0,20743
5.93,0,20743
5.94,2,20745
5.95,4,20749
5.96,7,20756
5.97,9,20765
5.98,12,20777
5.99,14,20791
6,16,20807
6.01,18,20825
6.02,20,20845
6.03,23,20868
6.04,24,20892
6.05,26,20918
6.06,28,20946
6.07,31,20977
6.08,32,21009
6.09,35,21044
6.1,36,21080
6.11,39,21119
6.12,40,21159
6.13,42,21201
6.14,44,21245
6.15,47,21292
6.16,48,21340
6.17,50,21390
6.18,52,21442
6.19,54,21496
6.2,55,21551
6.21,58,21609
6.22,60,21669
6.23,61,21730
6.24,63,21793
6.25,64,21857
6.26,66,21923
6.27,68,21991
6.28,70,22061
6.29,71,22132
6.3,73,22205
6.31,74,22279
6.32,76,22355
6.33,78,22433
6.34,79,22512
6.35,80,22592
6.36,81,22673
6.37,80,22753
6.38,82,22835
6.39,82,22917
6.4,72,22989
6.41,55,23044
6.42,44,23088
6.43,45,23133
6.44,37,23170
6.45,37,23207
6.46,30,23237
6.47,31,23268
6.48,10,23278
6.49,0,23278
6.5,0,23278
6.51,0,23278
6.52,0,23278
6.53,0,23278
6.54,0,23278
6.55,0,23278
6.56,0,23278
6.57,1,23279
6.58,3,23282
6.59,7,23289
6.6,8,23297
6.61,10,23307
6.62,13,23320
6.63,15,23335
6.64,17,23352
6.65,18,23370
6.66,21,23391
6.67,23,23414
6.68,25,23439
6.69,26,23465
6.7,29,23494
6.71,31,23525
6.72,33,23558
6.73,34,23592
6.74,37,23629
6.75,39,23668
6.76,41,23709
6.77,42,23751
6.78,45,23796
6.79,47,23843
6.8,48,23891
6.81,49,23940
6.82,52,23992
6.83,53,24045
6.84,56,24101
6.85,56,24157
6.86,58,24215
6.87,60,24275
6.88,62,24337
6.89,63,24400
6.9,65,24465
6.91,67,24532
6.92,68,24600
6.93,71,24671
6.94,71,24742
6.95,72,24814
6.96,75,24889
6.97,76,24965
6.98,77,25042
6.99,78,25120
7,78,25198
7.01,79,25277
7.02,80,25357
7.03,68,25425
7.04,51,25476
7.05,44,25520
7.06,45,25565
7.07,23,25588
7.08,15,25603
7.09,9,25612
7.1,11,25623
7.11,0,25623
7.12,0,25623
7.13,0,25623
7.14,0,25623
7.15,0,25623
7.16,1,25624
7.17,3,25627
7.18,10,25637
7.19,13,25650
7.2,13,25663
7.21,15,25678
7.22,17,25695
7.23,21,25716
7.24,21,25737
7.25,24,25761
7.26,27,25788
7.27,29,25817
7.28,30,25847
7.29,32,25879
7.3,35,25914
7.31,37,25951
7.32,38,25989
7.33,40,26029
7.34,42,26071
7.35,44,26115
7.36,44,26159
7.37,46,26205
7.38,48,26253
7.39,50,26303
7.4,52,26355
7.41,53,26408
7.42,56,26464
7.43,58,26522
7.44,60,26582
7.45,60,26642
7.46,62,26704
7.47,65,26769
7.48,67,26836
7.49,68,26904
7.5,69,26973
7.51,72,27045
7.52,74,27119
7.53,74,27193
7.54,75,27268
7.55,77,27345
7.56,78,27423
7.57,80,27503
7.58,64,27567
7.59,64,27631
7.6,65,27696
7.61,55,27751
7.62,50,27801
7.63,27,27828
7.64,28,27856
7.65,13,27869
7.66,14,27883
7.67,17,27900
7.68,19,27919
7.69,16,27935
7.7,0,27935
7.71,0,27935
7.72,2,27937
7.73,4,27941
7.74,5,27946
7.75,7,27953
7.76,9,27962
7.77,11,27973
7.78,14,27987
7.79,15,28002
7.8,18,28020
7.81,20,28040
7.82,21,28061
7.83,23,28084
7.84,26,28110
7.85,28,28138
7.86,30,28168
7.87,31,28199
7.88,34,28233
7.89,36,28269
7.9,38,28307
7.91,39,28346
7.92,42,28388
7.93,44,28432
7.94,45,28477
7.95,47,28524
7.96,49,28573
7.97,52,28625
7.98,53,28678
7.99,55,28733
8,56,28789
8.01,58,28847
8.02,61,28908
8.03,62,28970
8.04,63,29033
8.05,66,29099
8.06,68,29167
8.07,69,29236
8.08,71,29307
8.09,72,29379
8.1,73,29452
8.11,75,29527
8.12,77,29604
8.13,77,29681
8.14,79,29760
8.15,64,29824
8.16,65,29889
8.17,66,29955
8.18,66,30021
8.19,67,30088
8.2,69,30157
8.21,47,30204
8.22,33,30237
8.23,34,30271
8.24,23,30294
8.25,25,30319
8.26,19,30338
8.27,19,30357
8.28,20,30377
8.29,22,30399
8.3,12,30411
8.31,13,30424
8.32,15,30439
8.33,17,30456
8.34,20,30476
8.35,21,30497
8.36,24,30521
8.37,26,30547
8.38,28,30575
8.39,30,30605
8.4,31,30636
8.41,33,30669
8.42,35,30704
8.43,38,30742
8.44,39,30781
8.45,41,30822
8.46,43,30865
8.47,44,30909
8.48,45,30954
8.49,48,31002
8.5,50,31052
8.51,52,31104
8.52,53,31157
8.53,54,31211
8.54,57,31268
8.55,58,31326
8.56,59,31385
8.57,61,31446
8.58,62,31508
8.59,64,31572
8.6,66,31638
8.61,67,31705
8.62,69,31774
8.63,71,31845
8.64,73,31918
8.65,74,31992
8.66,75,32067
8.67,76,32143
8.68,78,32221
8.69,80,32301
8.7,59,32360
8.71,61,32421
8.72,62,32483
8.73,64,32547
8.74,64,32611
8.75,62,32673
8.76,45,32718
8.77,47,32765
8.78,48,32813
8.79,28,32841
8.8,29,32870
8.81,30,32900
8.82,31,32931
8.83,33,32964
8.84,11,32975
8.85,12,32987
8.86,13,33000
8.87,16,33016
8.88,19,33035
8.89,20,33055
8.9,22,33077
8.91,25,33102
8.92,27,33129
8.93,27,33156
8.94,30,33186
8.95,32,33218
8.96,35,33253
8.97,35,33288
8.98,38,33326
8.99,40,33366
9,43,33409
9.01,43,33452
9.02,46,33498
9.03,48,33546
9.04,50,33596
9.05,51,33647
9.06,53,33700
9.07,55,33755
9.08,58,33813
9.09,59,33872
9.1,60,33932
9.11,62,33994
9.12,64,34058
9.13,67,34125
9.14,67,34192
9.15,68,34260
9.16,70,34330
9.17,72,34402
9.18,74,34476
9.19,74,34550
9.2,75,34625
9.21,77,34702
9.22,77,34779
9.23,60,34839
9.24,59,34898
9.25,48,34946
9.26,49,34995
9.27,50,35045
9.28,51,35096
9.29,22,35118
9.3,24,35142
9.31,26,35168
9.32,20,35188
9.33,22,35210
9.34,24,35234
9.35,25,35259
9.36,27,35286
9.37,30,35316
9.38,32,35348
9.39,34,35382
9.4,35,35417
9.41,37,35454
9.42,39,35493
9.43,41,35534
9.44,43,35577
9.45,45,35622
9.46,47,35669
9.47,48,35717
9.48,50,35767
9.49,52,35819
9.5,54,35873
9.51,56,35929
9.52,57,35986
9.53,60,36046
9.54,62,36108
9.55,63,36171
9.56,65,36236
9.57,67,36303
9.58,69,36372
9.59,70,36442
9.6,71,36513
9.61,72,36585
9.62,74,36659
9.63,75,36734
9.64,77,36811
9.65,74,36885
9.66,74,36959
9.67,77,37036
9.68,65,37101
9.69,66,37167
9.7,56,37223
9.71,37,37260
9.72,34,37294
9.73,16,37310
9.74,18,37328
9.75,19,37347
9.76,6,37353
9.77,4,37357
9.78,6,37363
9.79,7,37370
9.8,9,37379
9.81,11,37390
9.82,13,37403
9.83,15,37418
9.84,17,37435
9.85,19,37454
9.86,20,37474
9.87,22,37496
9.88,24,37520
9.89,27,37547
9.9,29,37576
9.91,31,37607
9.92,33,37640
9.93,35,37675
9.94,37,37712
9.95,39,37751
9.96,41,37792
9.97,43,37835
9.98,44,37879
9.99,47,37926
